concept:name,case:concept:name
A_SUBMITTED,173688
A_PARTLYSUBMITTED,173688
A_PREACCEPTED,173688
A_SUBMITTED,173691
A_PARTLYSUBMITTED,173691
A_PREACCEPTED,173691
A_SUBMITTED,173694
A_PARTLYSUBMITTED,173694
A_SUBMITTED,173697
A_PARTLYSUBMITTED,173697
A_PREACCEPTED,173694
A_DECLINED,173697
A_SUBMITTED,173700
A_PARTLYSUBMITTED,173700
A_DECLINED,173700
A_SUBMITTED,173703
A_PARTLYSUBMITTED,173703
A_SUBMITTED,173706
A_PARTLYSUBMITTED,173706
A_PREACCEPTED,173703
A_SUBMITTED,173709
A_PARTLYSUBMITTED,173709
A_PREACCEPTED,173709
A_SUBMITTED,173712
A_PARTLYSUBMITTED,173712
A_SUBMITTED,173715
A_PARTLYSUBMITTED,173715
A_PREACCEPTED,173715
A_PREACCEPTED,173712
A_PREACCEPTED,173706
A_SUBMITTED,173718
A_PARTLYSUBMITTED,173718
A_PREACCEPTED,173718
A_ACCEPTED,173718
A_FINALIZED,173718
A_SUBMITTED,173721
A_PARTLYSUBMITTED,173721
A_PREACCEPTED,173721
A_ACCEPTED,173721
A_FINALIZED,173721
A_ACCEPTED,173688
A_FINALIZED,173688
A_SUBMITTED,173724
A_PARTLYSUBMITTED,173724
A_SUBMITTED,173727
A_PARTLYSUBMITTED,173727
A_DECLINED,173727
A_PREACCEPTED,173724
A_ACCEPTED,173715
A_FINALIZED,173715
A_SUBMITTED,173730
A_PARTLYSUBMITTED,173730
A_PREACCEPTED,173730
A_SUBMITTED,173733
A_PARTLYSUBMITTED,173733
A_SUBMITTED,173736
A_PARTLYSUBMITTED,173736
A_CANCELLED,173703
A_PREACCEPTED,173736
A_SUBMITTED,173739
A_PARTLYSUBMITTED,173739
A_PREACCEPTED,173739
A_SUBMITTED,173742
A_PARTLYSUBMITTED,173742
A_SUBMITTED,173745
A_PARTLYSUBMITTED,173745
A_SUBMITTED,173748
A_PARTLYSUBMITTED,173748
A_SUBMITTED,173751
A_PARTLYSUBMITTED,173751
A_PREACCEPTED,173751
A_ACCEPTED,173691
A_FINALIZED,173691
